time(h:m:s),Satellites,Latitude,Longitude,Altitude,Time,Course,Speed,azimuth(calib&flt)
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.2112
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.2112
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.2112
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.2112
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.2112
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.2112
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.2112
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.5145
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,80.1229
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,80.4279
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,81.3466
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,81.2477
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,81.5582
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,81.8692
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,81.8692
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,81.8692
23:58:23,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,82.1355
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,81.9966
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,82.3155
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,82.6348
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,82.591
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,82.9126
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,83.2347
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,83.8431
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,85.1462
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,85.7999
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,86.7827
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,88.0962
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,88.0829
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,88.7445
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,89.4065
23:58:23,15,35.6433933,139.523595,33.7,1605679916,159.79,0.334,89.7377
