time(h:m:s),Satellites,Latitude,Longitude,Altitude,Time,Course,Speed
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:53,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:53,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:54,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:55,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:55,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:55,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:55,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:55,15,35.6430050,139.5234133,26.3000000,1607580923,292.96,0.458
01:54:55,15,35.6430183,139.5234100,26.2000000,1607580924,303.88,0.514
01:54:55,15,35.6430183,139.5234100,26.2000000,1607580924,303.88,0.514
01:54:55,15,35.6430183,139.5234100,26.2000000,1607580924,303.88,0.514
01:54:55,15,35.6430183,139.5234100,26.2000000,1607580924,303.88,0.514
01:54:55,15,35.6430183,139.5234100,26.2000000,1607580924,303.88,0.514
01:54:55,15,35.6430183,139.5234100,26.2000000,1607580924,303.88,0.514
